Name,Industry,VAT number,Affiliate advertiser ID,External ID,Labels
Addicta Oy Ab32119,,FI8594413,32119,,
Addoz Oy50905,,FI23757663,50905,,
AddSearch Oy57150,,FI25457824,57150,,
Adecco Finland Oy25246,,FI10424640,25246,,
Adeptus Partners Oy35776,,FI17192598,35776,,
Aderton Oy55258,,FI24702656,55258,,
Adesso Nutraceuticals Oy57901,,FI26168602,57901,,
Adever Oy54905,,FI24343729,54905,,
"ADHD-liitto ry, ADHD-förbundet rf34355",,FI10317044,34355,,
ADI Kalusteet Oy32573,,FI15237270,32573,,
adidas Suomi Oy 3747937479,,FI15601431,37479,,
adidas Suomi Oy 18891889,,FI15601431,1889,,
Adimax International Ltd Oy Ab52068,,FI9857959,52068,,
Adita Oy26919,,FI15102683,26919,,
Aditro Oy36134,,FI18945934,36134,,
AdLibris Finland Oy33828,,FI1956637,33828,,
adQ Company Oy52531,,FI23104478,52531,,
AD-Rantahuolto Oy55879,,FI21233858,55879,,
Ad-Studio Maija Vanhatapio12326,,FI12471416,12326,,
Advantage Group Oy25557,,FI9970783,25557,,
Adven Oy55422,,FI23795985,55422,,
Advertising KIOSKI Oy51421,,FI19536403,51421,,
AEL Oy34016,,FI10084666,34016,,
Aeroc Jämerä Oy37850,,FI24775636,37850,,
Affecto Finland Oy26197,,FI18679314,26197,,
After Sports Oy8659,,FI20460178,8659,,
Agco Suomi Oy 74077407,,FI18686020,7407,,
AGCO Suomi Oy 5434554345,,FI23957972,54345,,
Agency Virtanen Oy52203,,FI19926030,52203,,
Agentur Arne & Mirja Holmberg Oy54550,,FI25555117,54550,,
Agri-Kymi Oy55928,,FI9235906,55928,,
Agrimarket Pori29225,,FI2245466,29225,,
Agrimarket Tampere25771,,FI2245466,25771,,
Agritek Oy26911,,FI6135483,26911,,
Agrotalo Oy37533,,FI8543018,37533,,
Agtuvi Ky57874,,FI1531997,57874,,
AH Bike Service Oy28173,,FI6518580,28173,,
Ahlman & Wuorinen Development AWD Oy55466,,FI24522567,55466,,
Ahlmanin Koulun Säätiö53955,,FI1554021,53955,,
Ahlsell Oy 3259632596,,FI18191538,32596,,
Ahlsell Oy 5115151151,,FI18191538,51151,,
Ahokas-Yhtiöt Oy35287,,FI1579261,35287,,
Ahokodit Oy54990,,FI23415268,54990,,
Ahosen Taimisto Oy5033,,FI5449720,5033,,
Ahtijahti Oy51937,,FI21625544,51937,,
Aidiruj Oy26993,,FI9525874,26993,,
AIG Europe Limited sivuliike2623,,FI10656855,2623,,
Aikalomat Oy52965,,FI16140868,52965,,
Aina Group Oyj32566,,FI1466427,32566,,
AinaCom Oy 2732327323,,FI9628347,27323,,
AinaCom Oy 3666836668,,FI9628347,36668,,
Aine Oulu Oy7855,,FI17698572,7855,,
Ainoa Helsinki Oy50469,,FI21925803,50469,,
A-Insinöörit Rakennuttaminen Oy53030,,FI7945410,53030,,
Air Baltic Corporation AS36418,,FI14604518,36418,,
Air Wise Oy20043,,FI9446113,20043,,
Aisapojat Oy55647,,FI19236603,55647,,
Aito Säästöpankki Oy17070,,FI22865742,17070,,
AITOASUNNOT OY57330,,FI26008094,57330,,
Aivoliitto ry55508,,FI3995891,55508,,
Ajan Lukko Oy29665,,FI4841157,29665,,
Ajanvaunu Oy36457,,FI9692365,36457,,
Ajasto Paperproducts Oy57341,,FI23054861,57341,,
Ajatar Oy1056,,FI3624708,1056,,
AJ-auto Oy54953,,FI23277379,54953,,
AK Eagle Media37202,,FI22203255,37202,,
AK Tauko Oy54792,,FI21109128,54792,,
Akaan kaupunki36278,,FI20508645,36278,,
Akaan Kone ja Kiinteistötaito Oy37643,,FI22111254,37643,,
Akaan Seudun OP-Kiinteistökeskus Oy LKV37813,,FI5202090,37813,,
AKA-Kaluste Oy56607,,FI18382158,56607,,
A-Katsastus Oy 1348313483,,FI19597054,13483,,
A-Katsastus Oy 5453854538,,FI19597054,54538,,
Akava ry2918,,FI2009180,2918,,
AK-Isännöinti Oy26708,,FI9266155,26708,,
AKK Sports Oy14676,,FI9376135,14676,,
"AKK-Motorsport ry, Akk-Motorsport rf52656",,FI2212517,52656,,
Akku-Ekspertti yhtiöt Oy55772,,FI22646777,55772,,
Akkukauppa Kemppainen Oy55991,,FI1851990,55991,,
Akkupojat Oy55754,,FI17395088,55754,,
Akkusalo Oy8538,,FI1537758,8538,,
Akkutalo Esko Markuksela18941,,FI12700135,18941,,
Akku-Tarvike O ja I Määttälä Ky56463,,FI1789920,56463,,
A-klinikkasäätiö34586,,FI2009244,34586,,
Aktia Bank Abp 1053210532,,FI21817028,10532,,
Aktia Bank Abp 3612936129,,FI21817028,36129,,
AKTIA BANK ABP 3738237382,,FI21817028,37382,,
Aktia Bank Abp 5459454594,,FI21817028,54594,,
Aktia Kiinteistönvälitys Oy5199951999,,FI9748680,51999,,
Aktia Kiinteistönvälitys Oy 55212 55212,,FI9748680,55212,,
Aktia Kiinteistönvälitys Oy 5386853868,,FI9748680,53868,,
Aktia Kiinteistönvälitys Oy Helsinki 5629656296,,FI9748680,56296,,
Aktia Pankki Oyj26214,,FI21817028,26214,,
Aktiv Kapital Oy27485,,FI15693946,27485,,
Aktiv-Resor Oy29778,,FI6472201,29778,,
A-kustannus Oy 1262212622,,FI17087907,12622,,
A-kustannus Oy 2639826398,,FI17087907,26398,,
A-kustannus Oy 27232723,,FI5035464,2723,,
Akva Filter Oy5047,,FI3566712,5047,,
Akvaariosoppi Oulu Oy21148,,FI15145616,21148,,
Akvaterm Oy51468,,FI17128529,51468,,
Akzo Nobel Coatings Oy 18201820,,FI1243039,1820,,
Akzo Nobel Coatings Oy28267,,FI1243039,28267,,
Alahovin Viinitila Oy 282679564,,FI1710792,9564,,
Alahovin Viinitila Oy 2500525005,,FI1710792,25005,,
Alahovin Viinitila Oy 5657756577,,FI1710792,56577,,
A-Laiturit Oy36646,,FI9118996,36646,,
Alajärven kaupunki22555,,FI1776193,22555,,
Alaska Markkinointi Oy28897,,FI19038447,28897,,
Alavuden Autokoulu Oy57998,,FI6695405,57998,,
Alavuden kaupunki 2419824198,,FI1777364,24198,,
Alavuden kaupunki 5262352623,,FI1777364,52623,,
Alavus Ikkunat Oy32079,,FI17961289,32079,,
Albatrade Oy50169,,FI20383459,50169,,
Alcemed Group Oy 5536955369,,FI20789408,55369,,
Alcemed Group Oy 5606056060,,FI20789408,56060,,
A-lehdet Oy / Apu1001,,FI17087907,1001,,
A-lehdet Oy / Demi19386,,FI17087907,19386,,
A-lehdet Oy / Eeva31293,,FI17087907,31293,,
"A-lehdet Oy / Kauneus ja terveys, Soundi5002",,FI17087907,5002,,
"A-lehdet Oy / Maku, Avotakka, Meidän mökki, Meidän talo19521",,FI17087907,19521,,
A-lehdet Oy / Trendi ja Lily.fi53627,,FI17087907,53627,,
A-lehdet Oy / Tuulilasi3094,,FI17087907,3094,,
A-lehdet Oy / Urheilulehti27844,,FI17087907,27844,,
A-lehdet Oy / Voi Hyvin23139,,FI17087907,23139,,
"A-lehdet Oy, barter23972",,FI17087907,23972,,
Aleksin Laukku Oy36005,,FI1495519,36005,,
Ale-Makasiini Matti Riikonen Oy18724,,FI5980394,18724,,
Alen Oy Leipomo32247,,FI9327464,32247,,
Alertec Oy32709,,FI15906796,32709,,
Alession Investing Oy33445,,FI18694290,33445,,
Alexandria Pankkiiriliike Oyj14404,,FI10634509,14404,,
AlfaRoc Oy53882,,FI22477512,53882,,
Alfmix Oy 10221022,,FI2925779,1022,,
Alfmix Oy 2838028380,,FI2925779,28380,,
Alfons Håkans Oy Ab29398,,FI7215493,29398,,
Algol Pharma Oy1025,,FI5801587,1025,,
Alhovuoren Toimintakeskus Oy56189,,FI21436874,56189,,
Alias Studiot Oy55536,,FI19734012,55536,,
Alkio-opiston kannatusyhdistys ry10046,,FI2084308,10046,,
Alko Oy2540,,FI15055514,2540,,
Alkuasunnot Oy51412,,FI9504029,51412,,
Alkuperäistuonti Oy22161,,FI8509741,22161,,
ALL GOOD CREATIVE COLLECTIVE55205,,FI22762268,55205,,
All Optics Finland Oy35340,,FI20221935,35340,,
All Right Europe Oy52351,,FI6270618,52351,,
All You Need Finland Oy33995,,FI10762519,33995,,
Allaway Oy8349,,FI1762808,8349,,
AllCom Viestintäratkaisut Oy37298,,FI18834812,37298,,
Allcool Oy37551,,FI21726951,37551,,
Aller Media Oy1094310943,,FI8722382,10943,,
Aller Media Oy 2667426674,,FI8722382,26674,,
Aller Media Oy 3129131291,,FI8722382,31291,,
Aller Media Oy 3371533715,,FI8722382,33715,,
Aller Media Oy 3433134331,,FI8722382,34331,,
Allergia- ja astmaliitto ry29791,,FI2760193,29791,,
Alleron Oy55613,,FI22973452,55613,,
Allied Travel Consultants Oy Ltd55682,,FI17919486,55682,,
Allmark Oy33243,,FI14693581,33243,,
Alma 360 Oy24037,,FI10529100,24037,,
Alma Career Oy22933,,FI14826460,22933,,
Alma Media Interactive Russia Oy 11611161,,FI20773318,1161,,
Alma Media Interactive Russia Oy 2833728337,,FI20773318,28337,,
Alma Media Kustannus Oy 2076620766,,FI1371807,20766,,
Alma Media Kustannus Oy 1779317793,,FI24422339,17793,,
Alma Media Kustannus Oy 3581135811,,FI24422339,35811,,
Alma Media Kustannus Oy 5168551685,,FI24422339,51685,,
Alma Media Kustannus Oy 5569655696,,FI24422339,55696,,
Alma Media Oyj 85438543,,FI15059048,8543,,
Alma Media Oyj 2402424024,,FI15059048,24024,,
Alma Media Oyj 2748027480,,FI15059048,27480,,
Alma Media Oyj 5048050480,,FI15059048,50480,,
Alma Media Oyj 3531435314,,FI19447574,35314,,
Alma Media Oyj 5579455794,,FI19447574,55794,,
 Alma Media Oyj 3745537455,,FI8725209,37455,,
Alma Media Suomi Oy 1050910509,,FI8692902,10509,,
Alma Media Suomi Oy25999,,FI8692902,25999,,
Alma Media Suomi Oy26263,,FI8692902,26263,,
Alma Media Suomi Oy36334,,FI8692902,36334,,
Alma Media Suomi Oy55962,,FI8692902,55962,,
Alma Mediapartners Oy52086,,FI23075566,52086,,
Alma Talent Oy1030,,FI8692881,1030,,
Alma Talent Oy3352,,FI8692881,3352,,
"Alma Talent Oy, Palvelukeskus barter34610",,FI8692881,34610,,
Almedical Oy56637,,FI25011902,56637,,
Alonso Oy57769,,FI12345671,57769,,
ALONSO OY57152,,FI12345671,57152,,
Alpha Beverages Oy32809,,FI16352473,32809,,
Alppilan Autohuolto Oy55687,,FI26533278,55687,,
ALSO Finland Oy26946,,FI9986398,26946,,
Altia Oyj1016,,FI15055557,1016,,
AM Lukkoasema Oy Kajaani56348,,FI18470692,56348,,
AM Lukkoasema Oy Oulu53496,,FI18470692,53496,,
AM Security Oy51662,,FI5686793,51662,,
Amer Sports Oyj2156,,FI1315055,2156,,
Amer Sports Oyj31720,,FI1315055,31720,,
Amer Sports Suomi Oy7843,,FI10253343,7843,,
American Cars Club Oulu ry8928,,FI10550671,8928,,
Amerplast Oy5068,,FI1330255,5068,,
Ami-säätiö26029,,FI2136120,26029,,
AMKA Oy/Ab35032,,FI17656313,35032,,
Ammatinharjoittajien ja yrittäjien työttömyyskassa17980,,FI9931549,17980,,
"Ammattikorkeakoulujen rehtorineuvosto Arene ry, Rådet för yrkeshögskolornas rektorer Arene fr21579",,FI10595343,21579,,
Ammattiliitto Pro26186,,FI2153502,26186,,
AMMATTIOPISTO LUOVI27546,,FI2014721,27546,,
Amo Oy1023,,FI1046676,1023,,
Amo Oy1501,,FI1046676,1501,,
Amo Oy55993,,FI1046676,55993,,
Amoena Finland Oy56076,,FI10155399,56076,,
Amphion Loudspeakers Oy58189,,FI14729804,58189,,
Ampparit Oy37208,,FI21238472,37208,,
AMT-Veneet Oy36706,,FI19925767,36706,,
Amuletti Asunnot Oy37665,,FI18928552,37665,,
AN Suunnittelu ja Rakennus Ky55473,,FI21917440,55473,,
Andiamo Heikintori51622,,FI6375110,51622,,
Andiamo Vantaa Jumbo51623,,FI6375110,51623,,
Andiamo-kauppiaat18984,,FI6375110,18984,,
Andritz Oy36172,,FI10453978,36172,,
Andumus Oy56460,,FI21934785,56460,,
Anetcom Oy57809,,FI26508187,57809,,
Angelika-Turkis Oy1073,,FI2495502,1073,,
Aninkaisten Kiinteistövälitys Oy38087,,FI1974034,38087,,
Anitta Ryynänen Oy54238,,FI4242293,54238,,
AnMa Avoin yhtiö52088,,FI23282338,52088,,
Annalan Laaturemontti Oy56659,,FI24157117,56659,,
Annhouse Lkv51112,,FI22363566,51112,,
Annikan Kauneuskulma55763,,FI17234428,55763,,
Anni-Lauteet Oy54120,,FI18141813,54120,,
Ansas Oy55925,,FI23284720,55925,,
Ansion Sementtivalimo Oy8038,,FI6391233,8038,,
Antell-Leipomot Oy7946,,FI8660847,7946,,
Antin Autokoulu Oy56280,,FI19213196,56280,,
Antinasu & Ratsula Oy12578,,FI1368739,12578,,
Anton & Anton Kulosaaren ruokakauppa52708,,FI21975181,52708,,
Anttiina Oy29073,,FI10059444,29073,,
ANTTILA OY1738,,FI16366736,1738,,
ANTTILA OY11709,,FI16366736,11709,,
ANTTILA OY24225,,FI16366736,24225,,
Anttila Oy7182,,FI5766873,7182,,
Anttila Oy11453,,FI5766873,11453,,
Anttila Oy/Kodin Ykkönen25992,,FI5766873,25992,,
Anttila Tavaratalo5076,,FI5766873,5076,,
Antti-Teollisuus Oy1936,,FI2073545,1936,,
Anttolan Kone ja Urheilu Oy56513,,FI21446693,56513,,
Anvia Oyj13750,,FI7476829,13750,,
Anvia TV Oy29026,,FI6268454,29026,,
Anvia TV Oy38034,,FI6268454,38034,,
Aon Finland Oy26126,,FI9542113,26126,,
Apali Oy32885,,FI6508972,32885,,
Apetit Kala Oy26909,,FI8777666,26909,,
Apetit Oyj1357,,FI1973955,1357,,
Apetit Ruoka Oy54545,,FI9710957,54545,,
Apex Palvelut Oy37355,,FI8889967,37355,,
A-PIPE OY54152,,FI23506450,54152,,
Apogee29864,,FI20802406,29864,,
Apollo Kaihdin ja Markiisi Oy23375,,FI19073330,23375,,
"Apple Aktiebolag, filial i Finland2547",,FI8326558,2547,,
Appleby Finland Oy25030,,FI9325418,25030,,
A-PUTKISANEERAUS OY36215,,FI21354617,36215,,
Aquaspa Oy53965,,FI20878339,53965,,
Archipelago Adventures Turku Oy36214,,FI10894706,36214,,
Arctic Circle Delight Oy53821,,FI22493344,53821,,
Arctic Fantasy Oy53858,,FI21931808,53858,,
Arctic Finland House Ltd Oy28914,,FI10459894,28914,,
Arctic Golf Oy55874,,FI9154874,55874,,
Arctic Heat Control Oy50802,,FI19881303,50802,,
Arctic Lifestyle Oy55768,,FI19596836,55768,,
Arctic Machine Oy55454,,FI4013300,55454,,
Arctic Nutrition Oy32727,,FI10653830,32727,,
Arctic Trucks Finland Oy55593,,FI22943843,55593,,
Arctice Oy57780,,FI19291063,57780,,
Arctimo Oy Ltd34138,,FI15716044,34138,,
Arcus Finland Oy28790,,FI17406402,28790,,
Are Oy28804,,FI9894936,28804,,
Are Oy Talotekniikka26179,,FI9894936,26179,,
Area m2 Oy37653,,FI18138972,37653,,
Arena Center Oy28174,,FI9677173,28174,,
A-Rengas Oy Ylivieska56471,,FI20095991,56471,,
Argonavis Oy37894,,FI11090371,37894,,
Arho Nordic Oy Ab53009,,FI17547301,53009,,
Ari Arminen Ky33241,,FI19424612,33241,,
Ari Tapio Johansson Oy51235,,FI10063769,51235,,
Arioso Seppo Halinen Oy21176,,FI7515293,21176,,
Arita Oy58149,,FI26401179,58149,,
Ariterm Oy33019,,FI14731429,33019,,
Arja ja Petri Pylväs Oy55222,,FI17779508,55222,,
Arja Koriseva Oy24020,,FI19366520,24020,,
Arki Oy51284,,FI6724130,51284,,
Arkta Rakennuttajat Oy51341,,FI9878610,51341,,
Arktikum-palvelu Oy12277,,FI8952057,12277,,
Arla Oy34841,,FI20795402,34841,,
Armas Design Oy35018,,FI17560602,35018,,
Ar-Na-La Oy28670,,FI10397048,28670,,
Arokki Digital Productions50838,,FI22602475,50838,,
Aromatica Oy37148,,FI16367042,37148,,
Aromix Erikoiskahvi Oy35993,,FI6703807,35993,,
Aronet-Esitysyhtiö Oy32275,,FI10643755,32275,,
Aro-Yhtymä Oy2489,,FI1066431,2489,,
Aro-Yhtymä Oy3245,,FI1066431,3245,,
Arrow ECS Finland Oy32563,,FI15408025,32563,,
Art Alex Oy51608,,FI10998345,51608,,
Art House Oy2339,,FI1066597,2339,,
Art Inn Consulting Oy24566,,FI9659434,24566,,
Art Marketing Oy54817,,FI24466593,54817,,
Artek oy ab33544,,FI1066562,33544,,
Artflow54040,,FI18305283,54040,,
Artic-Freetec Oy29060,,FI8452108,29060,,
Artic-Kaihdin Oy37564,,FI6759501,37564,,
Arto Nevala Oy56494,,FI7443971,56494,,
Arton Auto Oy24466,,FI7963053,24466,,
ARTPIX51936,,FI14711305,51936,,
AR-Tuotanto57941,,FI20037097,57941,,
Arturo Moda Oy26922,,FI8311145,26922,,
Arvokiinteistöt Tawastia Oy51428,,FI20888991,51428,,
AS LHV Pank Suomen sivuliike52449,,FI23477143,52449,,
"AS SIROWA Tallinn, Suomen sivuliike29257",,FI17646975,29257,,
Aschan Kahvilat Oy36813,,FI21810037,36813,,
Aseman Kello Airport Oy3522,,FI6097130,3522,,
Asian Avain Oy LKV58170,,FI9337910,58170,,
Asianajotoimisto Artus Ky51366,,FI15925604,51366,,
Asianajotoimisto Kari Räihä34464,,FI11599477,34464,,
Asianajotoimisto Legistum Oy32197,,FI16155445,32197,,
Asianajotoimisto Legistum Oy52672,,FI16155445,52672,,
Asianajotoimisto Merilampi Oy31425,,FI14503426,31425,,
Asikkalan kunta3524,,FI1452084,3524,,
Askolan kunta52312,,FI90001620,52312,,
Askur Oy2236,,FI20342286,2236,,
Assa Abloy Entrance Systems Finland Oy2977,,FI1010649,2977,,
Astalan Asuste Oy18075,,FI1366362,18075,,
Astra Zeneca Oy1686,,FI1969411,1686,,
Astrum Auto Oy36303,,FI7391139,36303,,
Astrum Vene Oy36304,,FI21397166,36304,,
Astu-Sisään kenkäkauppa Oy54584,,FI20881749,54584,,
Asunnonavain Oy37886,,FI21941651,37886,,
Asunto Ateljee Oy LKV51087,,FI22904318,51087,,
Asunto Björndahl Oy50910,,FI20437832,50910,,
Asunto- ja Kiinteistöpalvelu M. Varis Oy50718,,FI9295765,50718,,
Asunto ja Metsä Rönni Ky51097,,FI16250207,51097,,
Asunto- ja Metsätori Oy37725,,FI20758249,37725,,
Asunto ja Sisustus Aikain Oy56134,,FI25517292,56134,,
Asunto Onni Lkv Oy53165,,FI7952549,53165,,
Asunto Pirkanmaa Oy55659,,FI22652990,55659,,
Asunto Pirkanmaa Oy55664,,FI22652990,55664,,
Asunto Toimari Oy57853,,FI24923408,57853,,
Asuntofocus Oy37413,,FI18320635,37413,,
Asuntoheinola Oy37650,,FI18505699,37650,,
Asuntoherttua Oy37655,,FI15750437,37655,,
Asuntojämsä Oy37681,,FI15575931,37681,,
AsuntoKainuu Oy52535,,FI23410053,52535,,
Asuntokamari LKV Oy38070,,FI22629627,38070,,
Asuntokaupinta Realtor Oy51420,,FI7734285,51420,,
Asuntokeskus Kotipaja Oy37433,,FI17756883,37433,,
Asuntoklubi Oy50465,,FI21086632,50465,,
Asuntokolmio Oy53099,,FI23648221,53099,,
Asuntolakeus Oy37726,,FI17564697,37726,,
Asuntolandia Oy50109,,FI20083990,50109,,
Asuntolaune Oy37699,,FI15152250,37699,,
Asuntoleijonat Oy51105,,FI10939652,51105,,
Asuntomarkkinat Kolehmainen Oy51162,,FI7231039,51162,,
Asuntopalvelu AuraTeam Oy36609,,FI20805850,36609,,
Asuntopalvelu Kumpulainen Oy38145,,FI22168912,38145,,
Asuntopalvelu Nieminen Oy LKV37673,,FI10099104,37673,,
Asuntopalvelu Peräläinen Oy50315,,FI8921402,50315,,
Asuntopalvelu Sainio Oy37722,,FI8839855,37722,,
Asuntopalvelu Savossa Oy LKV37440,,FI21418983,37440,,
Asuntopiste Juha Salovaara LKV54195,,FI11146777,54195,,
ASUNTOPORRAS OY57102,,FI24434743,57102,,
Asuntoprintti Oy56297,,FI24879435,56297,,
AsuntoPrisma Oy51102,,FI18311640,51102,,
Asuntorengas Oy37659,,FI20368160,37659,,
Asuntosiili Oy37539,,FI15041518,37539,,
Asuntosiili Oy55166,,FI15041518,55166,,
Asuntosilta Oy37476,,FI10347278,37476,,
Asuntosäätiö33026,,FI1012425,33026,,
Asuntosäätiön Kiinteistöt Oy38131,,FI17947647,38131,,
Asuntoturku Oy37734,,FI17396355,37734,,
Asuntovantaa Oy37743,,FI10752564,37743,,
Asuntovarma Oy37663,,FI19005186,37663,,
Asuntoverstas Hallinnointi ja vuokraus Oy38011,,FI22374679,38011,,
Asuntovihti Oy53435,,FI23777429,53435,,
Asuntoviiri Oy37745,,FI14988339,37745,,
Asuntovirtaus Oy37671,,FI19115190,37671,,
Asuntovoima Oy37682,,FI4995308,37682,,
"Asuntovuokraus Avori, avoin yhtiö51129",,FI10149386,51129,,
Asu-Repo Oy54476,,FI1852053,54476,,
Atea Finland Oy29263,,FI9191560,29263,,
Ateljee Hiidenlinna29184,,FI13228514,29184,,
Aten Marja-Aitta34585,,FI12249065,34585,,
atFlow Oy58164,,FI21851111,58164,,
A-Tiilikate Oy20546,,FI10681989,20546,,
Atop Oy37800,,FI16436829,37800,,
Atoy Automotive Finland Oy1411,,FI16301772,1411,,
Atoy Automotive Finland Oy29333,,FI16301772,29333,,
Atoy Oy35522,,FI6252583,35522,,
Atria Oyj16228,,FI18003955,16228,,
Atria Suomi Oy27835,,FI18003955,27835,,
Ats-Ammattityökalut Oy33660,,FI8816514,33660,,
Attendo Curanda Terveyspalvelut Oy55840,,FI18209435,55840,,
Attendo Teljän Hammaslääkäriasema Oy23667,,FI6667850,23667,,
AT-Tuote Oy53172,,FI6541449,53172,,
ATV Aninkaisten Tapetti ja Väri Oy5074,,FI1974042,5074,,
AUDIO PORI OY35412,,FI19076558,35412,,
Audiosavo Oy34113,,FI9799533,34113,,
Aula-Caravan Oy13128,,FI7126968,13128,,
Aulis Lundell Oy55266,,FI3510495,55266,,
Auramedia Oy98,,FI8960102,98,,
Auratum Kiinteistöt Oy26644,,FI17001210,26644,,
Auraviihde Oy15964,,FI1406619,15964,,
Aurea Kiinteistöt Oy50096,,FI21112052,50096,,
AU-REal Oy55944,,FI24603455,55944,,
AUREK OY52434,,FI8831618,52434,,
Aurinko Golf Oy28967,,FI18605921,28967,,
Aurinkobaletin kannatusyhdistys ry52147,,FI5819138,52147,,
Aurinkokiuas Oy55111,,FI23376270,55111,,
Auron Oy32994,,FI19044177,32994,,
Aurora Group Finland Oy38093,,FI5363097,38093,,
Aurumia Finland Oy55366,,FI24705937,55366,,
Autiotalot LKV Oy50071,,FI21863227,50071,,
Auto Aho Oy12486,,FI3984842,12486,,
Auto Emporio Finland Oy55160,,FI24132059,55160,,
Auto- ja Kuljetusalan Työntekijäliitto ry36316,,FI2009949,36316,,
Auto Oy Vesa-Matti14156,,FI9059770,14156,,
Auto51 Oy55363,,FI21806740,55363,,
Autoalan Keskusliitto Ry56483,,FI2110369,56483,,
Auto-Bon Oy1273,,FI10683829,1273,,
AutoDeco Design52832,,FI23468554,52832,,
AutoDent Oy32787,,FI19652826,32787,,
Auto-Eekoo23842,,FI1621706,23842,,
